,appid,playtime_forever,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,rtime_last_played,playtime_2weeks,player
215,1151640,1157,1157,0,0,1626769131,,1
216,1162520,5,5,0,0,1645595558,,1
217,601150,0,0,0,0,0,,1
218,1172470,0,0,0,0,0,,1
219,1172620,2483,2483,0,0,1650796999,,1
220,1172380,169,169,0,0,1630371542,,1
221,1174180,2165,2165,0,0,1585612953,,1
222,1145360,11428,11428,0,0,1664910511,,1
223,1206610,139,139,0,0,1666687270,68.0,1
224,1217060,3523,3463,0,0,1663301343,,1
225,1222700,0,0,0,0,0,,1
226,1335790,198,198,0,0,1647244825,,1
227,1361510,86,86,0,0,1656050342,,1
228,1371720,151,151,0,0,1654533840,,1
229,1372810,469,469,0,0,1658960742,,1
230,1385380,965,965,0,0,1662878298,,1
231,1426210,1353,1352,0,0,1646654985,,1
232,1449850,2,2,0,0,1657947035,,1
233,955900,233,233,0,0,1655697918,,1
234,1483870,0,0,0,0,0,,1
235,1509960,183,183,0,0,1628261927,,1
236,1551360,2236,2236,0,0,1664293366,,1
237,1604030,4284,4284,0,0,1666462228,,1
238,231430,0,0,0,0,0,,1
239,424840,0,0,0,0,0,,1
240,1240440,218,218,0,0,1638168987,,1
241,1446780,7806,7806,0,0,1660956580,,1
242,1794680,4768,4768,0,0,1662015065,,1
243,1824220,1136,1136,0,0,1656026485,,1
244,1942280,1044,1044,0,0,1666242444,,1
245,1948280,268,268,0,0,1651243990,,1
0,4000,229,0,0,0,1497255034,,2
1,620,85,0,0,0,1499402629,,2
2,20920,2190,0,0,0,1496639907,,2
3,201870,51,0,0,0,1530288579,,2
4,200260,1927,0,0,0,1484659283,,2
5,230410,991,0,0,0,1484324171,,2
6,49520,2130,0,0,0,1560392650,,2
7,8870,691,0,0,0,1561247850,,2
8,323190,747,0,0,0,1530262316,,2
9,241930,1314,0,0,0,1508699703,,2
10,730,1301,1301,0,0,1654660793,,2
11,298110,2727,0,0,0,1496368017,,2
12,333980,1458,0,0,0,1545886634,,2
13,374040,142,0,0,0,1468937613,,2
14,236870,1477,0,0,0,1516063195,,2
15,384180,8627,8627,0,0,1655359558,,2
16,389730,713,0,0,0,1528352085,,2
17,397540,4655,4655,0,0,1657654849,,2
18,413410,1141,0,0,0,1563055054,,2
19,413420,9,0,0,0,1562554969,,2
20,208650,1340,0,0,0,1509161144,,2
21,243470,1929,0,0,0,1511152773,,2
22,268500,442,442,0,0,1637861073,,2
23,359550,190559,121368,0,0,1667173977,7.0,2
24,623990,3134,1717,0,0,1614225984,,2
25,239140,3555,0,0,0,1564201905,,2
26,431960,81,81,0,0,1613296438,,2
27,438100,238,238,0,0,1655192492,,2
28,457140,265,265,0,0,1579328186,,2
29,474960,561,0,0,0,1515315457,,2
30,273350,10,0,0,0,1468929676,,2
31,518030,3632,3484,0,0,1611865763,,2
32,312660,165,0,0,0,1530644392,,2
33,292030,8719,207,0,0,1630470567,,2
34,287700,3,3,0,0,1660015844,,2
35,311340,0,0,0,0,0,,2
36,578080,6128,472,0,0,1647673388,,2
37,460930,2710,0,0,0,1538156559,,2
38,356190,194,194,0,0,1653679739,,2
39,610370,93,93,0,0,1613302776,,2
40,632360,182,182,0,0,1649313636,,2
41,632470,202,202,0,0,1585994643,,2
42,644560,59,59,0,0,1656794575,,2
43,403640,1991,0,0,0,1514446134,,2
44,614570,61,0,0,0,1547260508,,2
45,665180,1,0,0,0,1509160927,,2
46,237850,172,0,0,0,1509731792,,2
47,668630,906,275,0,0,1594541935,,2
48,683320,325,325,0,0,1588553243,,2
49,698780,0,0,0,0,0,,2
50,567640,1905,0,0,0,1562488410,,2
51,435150,1831,1831,0,0,1635637457,,2
52,736190,479,0,0,0,1545545366,,2
53,740130,3722,3722,0,0,1633149516,,2
54,743450,272,272,0,0,1593230518,,2
55,427460,0,0,0,0,0,,2
56,504370,0,0,0,0,0,,2
57,753640,162,162,0,0,1622581133,,2
58,757240,20,0,0,0,1553667743,,2
59,774861,5,5,0,0,1587756581,,2
60,779340,3477,491,0,0,1627281821,,2
